"abilities","against_bug","against_dark","against_dragon","against_electric","against_fairy","against_fighting","against_fire","against_flying","against_ghost","against_grass","against_ground","against_ice","against_normal","against_poison","against_psychic","against_rock","against_steel","against_water","attack","base_egg_steps","base_happiness","base_total","capture_rate","classfication","defense","experience_growth","hp","japanese_name","name","percentage_male","pokedex_number","sp_attack","sp_defense","speed","generation","is_legendary","sprite","icon","type","type1","type2","height_ft","height_m","weight_lbs","weight_kgs","bmi","avg_total"
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,45,5120,70,340,120,"Cottonweed Pokémon",50,1059860,55,"Popoccoポポッコ","Skiploom",50,188,45,65,80,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/188.png","http://cdn.bulbagarden.net/upload/8/88/188MS.png","Grass/Flying","Grass","Flying","2′00″",0.6,2.2,1,2.8,56.6666666666667
"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5,55,5120,70,460,45,"Cottonweed Pokémon",70,1059860,75,"Wataccoワタッコ","Jumpluff",50,189,55,95,110,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/189.png","http://cdn.bulbagarden.net/upload/b/ba/189MS.png","Grass/Flying","Grass","Flying","2′07″",0.8,6.6,3,4.7,76.6666666666667
"['Run Away', 'Pickup', 'Skill Link']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,360,45,"Long Tail Pokémon",55,800000,55,"Eipamエイパム","Aipom",50,190,40,55,85,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/190.png","http://cdn.bulbagarden.net/upload/0/00/190MS.png","Normal","Normal","","2′07″",0.8,25.4,11.5,18,60
"['Chlorophyll', 'Solar Power', 'Early Bird']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,30,5120,70,180,235,"Seed Pokémon",30,1059860,30,"Himanutsヒマナッツ","Sunkern",50,191,30,30,30,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/191.png","http://cdn.bulbagarden.net/upload/e/e5/191MS.png","Grass","Grass","","1′00″",0.3,4,1.8,20,30
"['Chlorophyll', 'Solar Power', 'Early Bird']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,75,5120,70,425,120,"Sun Pokémon",55,1059860,75,"Kimawariキマワリ","Sunflora",50,192,105,85,30,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/192.png","http://cdn.bulbagarden.net/upload/5/5a/192MS.png","Grass","Grass","","2′07″",0.8,18.7,8.5,13.3,70.8333333333333
"['Speed Boost', 'Compoundeyes', 'Frisk']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,65,5120,70,390,75,"Clear Wing Pokémon",45,1000000,65,"Yanyanmaヤンヤンマ","Yanma",50,193,75,45,95,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/193.png","http://cdn.bulbagarden.net/upload/9/97/193MS.png","Bug/Flying","Bug","Flying","3′11″",1.2,83.8,38,26.4,65
"['Damp', 'Water Absorb', 'Unaware']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,45,5120,70,210,255,"Water Fish Pokémon",45,1000000,55,"Upahウパー","Wooper",50,194,25,25,15,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/194.png","http://cdn.bulbagarden.net/upload/0/0d/194MS.png","Water/Ground","Water","Ground","1′04″",0.4,18.7,8.5,53.1,35
"['Damp', 'Water Absorb', 'Unaware']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,85,5120,70,430,90,"Water Fish Pokémon",85,1000000,95,"Nuohヌオー","Quagsire",50,195,65,65,35,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/195.png","http://cdn.bulbagarden.net/upload/8/8b/195MS.png","Water/Ground","Water","Ground","4′07″",1.4,165.3,75,38.3,71.6666666666667
"['Synchronize', 'Magic Bounce']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,65,8960,70,525,45,"Sun Pokémon",60,1000000,65,"Eifieエーフィ","Espeon",88.1,196,130,95,110,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/196.png","http://cdn.bulbagarden.net/upload/a/a7/196MS.png","Psychic","Psychic","","2′11″",0.9,58.4,26.5,32.7,87.5
"['Synchronize', 'Inner Focus']",2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,65,8960,35,525,45,"Moonlight Pokémon",110,1000000,95,"Blackyブラッキー","Umbreon",88.1,197,60,130,65,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/197.png","http://cdn.bulbagarden.net/upload/7/76/197MS.png","Dark","Dark","","3′03″",1,59.5,27,27,87.5
"['Insomnia', 'Super Luck', 'Prankster']",1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1,85,5120,35,405,30,"Darkness Pokémon",42,1059860,60,"Yamikarasuヤミカラス","Murkrow",50,198,85,42,91,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/198.png","http://cdn.bulbagarden.net/upload/7/71/198MS.png","Dark/Flying","Dark","Flying","1′08″",0.5,4.6,2.1,8.4,67.5
"['Oblivious', 'Own Tempo', 'Regenerator']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,75,5120,70,490,70,"Royal Pokémon",80,1000000,95,"Yadokingヤドキング","Slowking",50,199,100,110,30,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/199.png","http://cdn.bulbagarden.net/upload/8/80/199MS.png","Water/Psychic","Water","Psychic","6′07″",2,175.3,79.5,19.9,81.6666666666667
"['Levitate']",0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,60,6400,35,435,45,"Screech Pokémon",60,800000,60,"Mumaムウマ","Misdreavus",50,200,85,85,85,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/200.png","http://cdn.bulbagarden.net/upload/8/89/200MS.png","Ghost","Ghost","","2′04″",0.7,2.2,1,2,72.5
"['Levitate']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,72,10240,70,336,225,"Symbol Pokémon",48,1000000,48,"Unknownアンノーン","Unown",NA,201,72,48,48,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/201.png","http://cdn.bulbagarden.net/upload/a/a4/201MS.png","Psychic","Psychic","","1′08″",0.5,11,5,20,56
"['Shadow Tag', 'Telepathy']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,33,5120,70,405,45,"Patient Pokémon",58,1000000,190,"Sonansソーナンス","Wobbuffet",50,202,33,58,33,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/202.png","http://cdn.bulbagarden.net/upload/f/fa/202MS.png","Psychic","Psychic","","4′03″",1.3,62.8,28.5,16.9,67.5
"['Inner Focus', 'Early Bird', 'Sap Sipper']",2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1,80,5120,70,455,60,"Long Neck Pokémon",65,1000000,70,"Kirinrikiキリンリキ","Girafarig",50,203,90,65,85,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/203.png","http://cdn.bulbagarden.net/upload/6/6a/203MS.png","Normal/Psychic","Normal","Psychic","4′11″",1.5,91.5,41.5,18.4,75.8333333333333
"['Sturdy', 'Overcoat']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,65,5120,70,290,190,"Bagworm Pokémon",90,1000000,50,"Kunugidamaクヌギダマ","Pineco",50,204,35,35,15,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/204.png","http://cdn.bulbagarden.net/upload/5/52/204MS.png","Bug","Bug","","2′00″",0.6,15.9,7.2,20,48.3333333333333
"['Sturdy', 'Overcoat']",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,90,5120,70,465,75,"Bagworm Pokémon",140,1000000,75,"Foretosフォレトス","Forretress",50,205,60,60,40,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/205.png","http://cdn.bulbagarden.net/upload/5/5f/205MS.png","Bug/Steel","Bug","Steel","3′11″",1.2,277.3,125.8,87.4,77.5
"['Serene Grace', 'Run Away', 'Rattled']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,5120,70,415,190,"Land Snake Pokémon",70,1000000,100,"Nokocchiノコッチ","Dunsparce",50,206,65,65,45,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/206.png","http://cdn.bulbagarden.net/upload/b/b0/206MS.png","Normal","Normal","","4′11″",1.5,30.9,14,6.2,69.1666666666667
"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2,75,5120,70,430,60,"Flyscorpion Pokémon",105,1059860,65,"Gligerグライガー","Gligar",50,207,35,65,85,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/207.png","http://cdn.bulbagarden.net/upload/6/67/207MS.png","Ground/Flying","Ground","Flying","3′07″",1.1,142.9,64.8,53.6,71.6666666666667
"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2,125,6400,70,610,25,"Iron Snake Pokémon",230,1000000,75,"Haganeilハガネール","Steelix",50,208,55,95,30,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/208.png","http://cdn.bulbagarden.net/upload/b/bf/208MS.png","Steel/Ground","Steel","Ground","30′02″",9.2,881.8,400,4.7,101.666666666667
"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,80,5120,70,300,190,"Fairy Pokémon",50,800000,60,"Buluブルー","Snubbull",24.6,209,40,40,30,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/209.png","http://cdn.bulbagarden.net/upload/6/6c/209MS.png","Fairy","Fairy","","2′00″",0.6,17.2,7.8,21.7,50
"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,120,5120,70,450,75,"Fairy Pokémon",75,800000,90,"Granbuluグランブル","Granbull",24.6,210,60,60,45,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/210.png","http://cdn.bulbagarden.net/upload/c/cd/210MS.png","Fairy","Fairy","","4′07″",1.4,107.4,48.7,24.8,75
"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5,95,5120,70,440,45,"Balloon Pokémon",85,1000000,65,"Harysenハリーセン","Qwilfish",50,211,55,55,85,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/211.png","http://cdn.bulbagarden.net/upload/9/93/211MS.png","Water/Poison","Water","Poison","1′08″",0.5,8.6,3.9,15.6,73.3333333333333
"['Swarm', 'Technician', 'Light Metal']",0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1,150,6400,70,600,25,"Pincer Pokémon",140,1000000,70,"Hassamハッサム","Scizor",50,212,65,100,75,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/212.png","http://cdn.bulbagarden.net/upload/f/f2/212MS.png","Bug/Steel","Bug","Steel","5′11″",1.8,260.1,118,36.4,100
"['Sturdy', 'Gluttony', 'Contrary']",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,10,5120,70,505,190,"Mold Pokémon",230,1059860,20,"Tsubotsuboツボツボ","Shuckle",50,213,10,230,5,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/213.png","http://cdn.bulbagarden.net/upload/0/0a/213MS.png","Bug/Rock","Bug","Rock","2′00″",0.6,45.2,20.5,56.9,84.1666666666667
"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,185,6400,70,600,45,"Singlehorn Pokémon",115,1250000,80,"Heracrosヘラクロス","Heracross",50,214,40,105,75,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/214.png","http://cdn.bulbagarden.net/upload/4/4c/214MS.png","Bug/Fighting","Bug","Fighting","4′11″",1.5,119,54,24,100
"['Inner Focus', 'Keen Eye', 'Pickpocket']",2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1,95,5120,35,430,60,"Sharp Claw Pokémon",55,1059860,55,"Nyulaニューラ","Sneasel",50,215,35,75,115,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/215.png","http://cdn.bulbagarden.net/upload/6/67/215MS.png","Dark/Ice","Dark","Ice","2′11″",0.9,61.7,28,34.6,71.6666666666667
"['Pickup', 'Quick Feet', 'Honey Gather']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,330,120,"Little Bear Pokémon",50,1000000,60,"Himegumaヒメグマ","Teddiursa",50,216,50,50,40,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/216.png","http://cdn.bulbagarden.net/upload/5/5e/216MS.png","Normal","Normal","","2′00″",0.6,19.4,8.8,24.4,55
"['Guts', 'Quick Feet', 'Unnerve']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,130,5120,70,500,60,"Hibernator Pokémon",75,1000000,90,"Ringumaリングマ","Ursaring",50,217,75,75,55,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/217.png","http://cdn.bulbagarden.net/upload/5/50/217MS.png","Normal","Normal","","5′11″",1.8,277.3,125.8,38.8,83.3333333333333
"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,40,5120,70,250,190,"Lava Pokémon",40,1000000,40,"Magmagマグマッグ","Slugma",50,218,70,40,20,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/218.png","http://cdn.bulbagarden.net/upload/d/dc/218MS.png","Fire","Fire","","2′04″",0.7,77.2,35,71.4,41.6666666666667
"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1,1,1,0.5,2,0.25,0.5,1,1,4,0.5,0.5,0.5,1,2,1,4,50,5120,70,430,75,"Lava Pokémon",120,1000000,60,"Magcargotマグカルゴ","Magcargo",50,219,90,80,30,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/219.png","http://cdn.bulbagarden.net/upload/6/6b/219MS.png","Fire/Rock","Fire","Rock","2′07″",0.8,121.3,55,85.9,71.6666666666667
"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,50,5120,70,250,225,"Pig Pokémon",40,1250000,50,"Urimooウリムー","Swinub",50,220,30,30,50,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/220.png","http://cdn.bulbagarden.net/upload/1/10/220MS.png","Ice/Ground","Ice","Ground","1′04″",0.4,14.3,6.5,40.6,41.6666666666667
"['Oblivious', 'Snow Cloak', 'Thick Fat']",1,1,1,0,1,2,2,1,1,2,1,1,1,0.5,1,1,2,2,100,5120,70,450,75,"Swine Pokémon",80,1250000,100,"Inomooイノムー","Piloswine",50,221,60,60,50,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/221.png","http://cdn.bulbagarden.net/upload/6/6d/221MS.png","Ice/Ground","Ice","Ground","3′07″",1.1,123,55.8,46.1,75
"['Hustle', 'Natural Cure', 'Regenerator']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,55,5120,70,410,60,"Coral Pokémon",95,800000,65,"Sunnygoサニーゴ","Corsola",24.6,222,65,95,35,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/222.png","http://cdn.bulbagarden.net/upload/9/97/222MS.png","Water/Rock","Water","Rock","2′00″",0.6,11,5,13.9,68.3333333333333
"['Hustle', 'Sniper', 'Moody']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,300,190,"Jet Pokémon",35,1000000,35,"Teppouoテッポウオ","Remoraid",50,223,65,35,65,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/223.png","http://cdn.bulbagarden.net/upload/4/4f/223MS.png","Water","Water","","2′00″",0.6,26.5,12,33.3,50
"['Suction Cups', 'Sniper', 'Moody']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,105,5120,70,480,75,"Jet Pokémon",75,1000000,75,"Okutankオクタン","Octillery",50,224,105,75,45,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/224.png","http://cdn.bulbagarden.net/upload/b/b5/224MS.png","Water","Water","","2′11″",0.9,62.8,28.5,35.2,80
"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,55,5120,70,330,45,"Delivery Pokémon",45,800000,45,"Delibirdデリバード","Delibird",50,225,65,45,75,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/225.png","http://cdn.bulbagarden.net/upload/0/0b/225MS.png","Ice/Flying","Ice","Flying","2′11″",0.9,35.3,16,19.8,55
"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,40,6400,70,485,25,"Kite Pokémon",70,1250000,85,"Mantainマンタイン","Mantine",50,226,80,140,70,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/226.png","http://cdn.bulbagarden.net/upload/1/11/226MS.png","Water/Flying","Water","Flying","6′11″",2.1,485,220,49.9,80.8333333333333
"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,80,6400,70,465,25,"Armor Bird Pokémon",140,1250000,65,"Airmdエアームド","Skarmory",50,227,40,70,70,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/227.png","http://cdn.bulbagarden.net/upload/c/c9/227MS.png","Steel/Flying","Steel","Flying","5′07″",1.7,111.3,50.5,17.5,77.5
"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,60,5120,35,330,120,"Dark Pokémon",30,1250000,45,"Delvilデルビル","Houndour",50,228,80,50,65,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/228.png","http://cdn.bulbagarden.net/upload/3/3b/228MS.png","Dark/Fire","Dark","Fire","2′00″",0.6,23.8,10.8,30,55
"['Early Bird', 'Flash Fire', 'Unnerve']",1,0.5,1,1,1,2,0.5,1,0.5,0.5,2,0.5,1,1,0,2,0.5,2,90,5120,35,600,45,"Dark Pokémon",90,1250000,75,"Hellgarヘルガー","Houndoom",50,229,140,90,115,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/229.png","http://cdn.bulbagarden.net/upload/6/6b/229MS.png","Dark/Fire","Dark","Fire","4′07″",1.4,77.2,35,17.9,100
"['Swift Swim', 'Sniper', 'Damp']",1,1,2,1,2,1,0.25,1,1,1,1,1,1,1,1,1,0.5,0.25,95,5120,70,540,45,"Dragon Pokémon",95,1000000,75,"Kingdraキングドラ","Kingdra",50,230,95,95,85,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/230.png","http://cdn.bulbagarden.net/upload/8/8e/230MS.png","Water/Dragon","Water","Dragon","5′11″",1.8,335.1,152,46.9,90
"['Pickup', 'Sand Veil']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,60,5120,70,330,120,"Long Nose Pokémon",60,1000000,90,"Gomazouゴマゾウ","Phanpy",50,231,40,40,40,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/231.png","http://cdn.bulbagarden.net/upload/9/90/231MS.png","Ground","Ground","","1′08″",0.5,73.9,33.5,134,55
"['Sturdy', 'Sand Veil']",1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,120,5120,70,500,60,"Armor Pokémon",120,1000000,90,"Donfanドンファン","Donphan",50,232,60,60,50,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/232.png","http://cdn.bulbagarden.net/upload/2/2c/232MS.png","Ground","Ground","","3′07″",1.1,264.6,120,99.2,83.3333333333333
"['Trace', 'Download', 'Analytic']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,515,45,"Virtual Pokémon",90,1000000,85,"Porygon2ポリゴン２","Porygon2",NA,233,105,95,60,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/233.png","http://cdn.bulbagarden.net/upload/7/78/233MS.png","Normal","Normal","","2′00″",0.6,71.6,32.5,90.3,85.8333333333333
"['Intimidate', 'Frisk', 'Sap Sipper']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,95,5120,70,465,45,"Big Horn Pokémon",62,1250000,73,"Odoshishiオドシシ","Stantler",50,234,85,65,85,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/234.png","http://cdn.bulbagarden.net/upload/4/40/234MS.png","Normal","Normal","","4′07″",1.4,157,71.2,36.3,77.5
"['Own Tempo', 'Technician', 'Moody']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,20,5120,70,250,45,"Painter Pokémon",35,800000,55,"Dobleドーブル","Smeargle",50,235,20,45,75,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/235.png","http://cdn.bulbagarden.net/upload/7/7c/235MS.png","Normal","Normal","","3′11″",1.2,127.9,58,40.3,41.6666666666667
"['Guts', 'Steadfast', 'Vital Spirit']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,35,6400,70,210,75,"Scuffle Pokémon",35,1000000,35,"Balkieバルキー","Tyrogue",100,236,35,35,35,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/236.png","http://cdn.bulbagarden.net/upload/e/ed/236MS.png","Fighting","Fighting","","2′04″",0.7,46.3,21,42.9,35
"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,95,6400,70,455,45,"Handstand Pokémon",95,1000000,50,"Kapoererカポエラー","Hitmontop",100,237,35,110,70,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/237.png","http://cdn.bulbagarden.net/upload/e/ed/237MS.png","Fighting","Fighting","","4′07″",1.4,105.8,48,24.5,75.8333333333333
"['Oblivious', 'Forewarn', 'Hydration']",2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1,30,6400,70,305,45,"Kiss Pokémon",15,1000000,45,"Muchulムチュール","Smoochum",0,238,85,65,65,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/238.png","http://cdn.bulbagarden.net/upload/0/00/238MS.png","Ice/Psychic","Ice","Psychic","1′04″",0.4,13.2,6,37.5,50.8333333333333
"['Static', 'Vital Spirit']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,63,6400,70,360,45,"Electric Pokémon",37,1000000,45,"Elekidエレキッド","Elekid",75.4,239,65,55,95,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/239.png","http://cdn.bulbagarden.net/upload/b/b5/239MS.png","Electric","Electric","","2′00″",0.6,51.8,23.5,65.3,60
"['Flame Body', 'Vital Spirit']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,75,6400,70,365,45,"Live Coal Pokémon",37,1000000,45,"Bubyブビィ","Magby",75.4,240,70,55,83,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/240.png","http://cdn.bulbagarden.net/upload/e/e4/240MS.png","Fire","Fire","","2′04″",0.7,47.2,21.4,43.7,60.8333333333333
"['Thick Fat', 'Scrappy', 'Sap Sipper']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,5120,70,490,45,"Milk Cow Pokémon",105,1250000,95,"Miltankミルタンク","Miltank",0,241,40,70,100,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/241.png","http://cdn.bulbagarden.net/upload/c/ce/241MS.png","Normal","Normal","","3′11″",1.2,166.4,75.5,52.4,81.6666666666667
"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10,10240,140,540,30,"Happiness Pokémon",10,800000,255,"Happinasハピナス","Blissey",0,242,75,135,55,2,FALSE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/242.png","http://cdn.bulbagarden.net/upload/f/f8/242MS.png","Normal","Normal","","4′11″",1.5,103.2,46.8,20.8,90
"['Pressure', 'Inner Focus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,85,20480,35,580,3,"Thunder Pokémon",75,1250000,90,"Raikouライコウ","Raikou",NA,243,115,100,115,2,TRUE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/243.png","http://cdn.bulbagarden.net/upload/8/80/243MS.png","Electric","Electric","","6′03″",1.9,392.4,178,49.3,96.6666666666667
"['Pressure', 'Inner Focus']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,115,20480,35,580,3,"Volcano Pokémon",85,1250000,115,"Enteiエンテイ","Entei",NA,244,90,75,100,2,TRUE,"http://raw.githubusercontent.com/gabrielvcbessa/sprites/master/sprites/pokemon/244.png","http://cdn.bulbagarden.net/upload/4/4e/244MS.png","Fire","Fire","","6′11″",2.1,436.5,198,44.9,96.6666666666667
